Year,Month,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
1998,9,29.3,1.2,16.013333333333332,2.8066666666666666,0.0,2.8066666666666666
1998,10,21.8,-1.2,10.0,1.9096774193548387,0.0,1.9096774193548387
1998,11,17.2,-6.8,3.6333333333333333,1.6466666666666667,0.006666666666666667,1.6533333333333333
1998,12,14.0,-25.8,-2.5483870967741935,1.5193548387096774,0.5548387096774194,2.0161290322580645
1999,1,8.2,-28.2,-10.019354838709678,1.361290322580645,1.8870967741935485,3.135483870967742
1999,2,7.6,-20.2,-5.682142857142857,0.6571428571428571,0.6892857142857143,1.3464285714285715
1999,3,15.2,-18.7,-2.425806451612903,0.38387096774193546,2.267741935483871,2.7548387096774194
1999,4,21.1,-7.7,7.086666666666667,0.6833333333333333,0.0,0.6833333333333333
1999,5,33.0,2.4,16.370967741935484,1.2741935483870968,0.0,1.2741935483870968
1999,6,34.7,6.3,20.959999999999997,1.6233333333333335,0.0,1.6233333333333335
1999,7,33.8,11.6,22.758064516129032,3.97741935483871,0.0,3.97741935483871
1999,8,33.5,7.8,19.51290322580645,1.1387096774193548,0.0,1.1387096774193548
1999,9,33.3,3.8,17.573333333333334,4.55,0.0,4.55
1999,10,20.5,-3.2,8.083870967741936,1.9870967741935484,0.0,1.9870967741935484
1999,11,17.9,-5.1,5.05,2.55,0.04,2.5900000000000003
1999,12,14.5,-24.8,-3.5870967741935487,1.567741935483871,0.7225806451612903,2.164516129032258
2000,1,9.6,-26.5,-9.612903225806452,0.9064516129032258,0.7516129032258064,1.564516129032258
2000,2,12.1,-25.4,-6.596551724137932,0.1724137931034483,1.8551724137931034,1.4034482758620688
2000,3,19.0,-11.7,2.3677419354838714,1.6935483870967742,0.46774193548387094,2.1774193548387095
2000,4,22.4,-6.1,5.5600000000000005,2.4266666666666667,0.76,3.226666666666667
2000,5,28.5,1.8,13.55483870967742,3.732258064516129,0.0,3.732258064516129
2000,6,29.0,2.9,17.516666666666666,5.71,0.0,5.71
2000,7,28.1,8.4,19.638709677419353,2.235483870967742,0.0,2.235483870967742
2000,8,30.0,8.8,19.593548387096774,3.3451612903225807,0.0,3.3451612903225807
2000,9,29.5,-2.7,14.17,2.8366666666666664,0.0,2.8366666666666664
2000,10,23.4,-2.8,9.364516129032259,0.967741935483871,0.0,0.967741935483871
2000,11,16.1,-14.7,2.3233333333333333,2.3766666666666665,0.15,2.5300000000000002
2000,12,6.6,-26.7,-10.064516129032258,0.6129032258064516,2.7548387096774194,2.674193548387097
2001,1,1.4,-25.3,-9.209677419354838,0.0,1.7032258064516128,1.1387096774193548
2001,2,7.6,-24.7,-8.653571428571428,0.9535714285714285,1.3964285714285716,2.092857142857143
2001,3,8.5,-21.2,-2.793548387096774,0.33225806451612905,0.9451612903225807,1.3258064516129033
2001,4,26.3,-5.3,6.98,0.38666666666666666,0.03666666666666667,0.4233333333333334
2001,5,30.6,1.7,14.832258064516129,3.083870967741935,0.0,3.083870967741935
2001,6,32.7,3.8,19.933333333333334,2.6,0.0,2.6
2001,7,33.5,8.4,20.270967741935483,1.3161290322580645,0.0,1.3161290322580645
2001,8,37.3,8.5,22.55483870967742,1.2161290322580647,0.0,1.2161290322580647
2001,9,33.2,3.2,16.633333333333333,2.9366666666666665,0.0,2.9366666666666665
2001,10,24.1,-4.3,9.961290322580645,3.3225806451612905,0.0,3.3225806451612905
2001,11,17.6,-5.3,5.236666666666666,2.5566666666666666,0.16666666666666666,2.7233333333333336
2001,12,16.0,-14.0,-0.6870967741935484,1.6806451612903226,0.932258064516129,2.6129032258064515
2002,1,6.8,-20.8,-4.270967741935484,0.2064516129032258,1.0451612903225806,1.2516129032258063
2002,2,6.4,-21.0,-5.917857142857144,0.5928571428571429,0.9642857142857143,1.5571428571428572
2002,3,14.2,-16.4,-2.5677419354838706,1.006451612903226,1.3483870967741935,2.3548387096774195
2002,4,30.2,-7.3,7.05,2.0933333333333333,0.65,2.743333333333333
2002,5,27.7,0.0,11.483870967741936,3.4129032258064513,0.0,3.4129032258064513
2002,6,30.2,4.6,17.509999999999998,6.293333333333334,0.0,6.333333333333333
2002,7,34.1,10.4,22.148387096774194,1.5870967741935484,0.0,1.5870967741935484
2002,8,34.8,9.8,21.241935483870968,1.393548387096774,0.0,1.393548387096774
2002,9,35.3,4.6,18.073333333333334,1.8233333333333335,0.0,1.8233333333333335
2002,10,26.4,-4.7,7.945161290322581,2.8096774193548386,0.0,2.8096774193548386
2002,11,16.9,-11.9,0.7533333333333334,0.9566666666666667,1.47,2.4266666666666667
2002,12,5.4,-21.0,-5.403225806451613,0.31935483870967746,0.5645161290322581,0.8838709677419354
2003,1,0.9,-26.9,-12.641935483870967,0.016129032258064516,1.067741935483871,1.0838709677419356
2003,2,3.8,-29.3,-11.167857142857143,0.49642857142857144,1.375,1.8714285714285714
